,precision,recall,f1-score,support
µüÆΘí║τ│ûΘåïµ▒ü,0.0,0.0,0.0,2.0
µüÆΘí║τ║óτâºµûÖΘàÆ,0.0,0.0,0.0,19.0
µüÆΘí║τ▓╛σê╢µûÖΘàÆ,0.0,0.0,0.0,34.0
µüÆσñºσå░µ│ë,0.0,0.0,0.0,1.0
µüÆσñº∩╝êσà¿σ╝Çσ╝ÅτâƒΘ¡ü∩╝ë,0.0,0.0,0.0,2.0
µüÆσñº∩╝êτâƒΘ¡ü1949Σ╕¡µö»∩╝ë,0.0,0.0,0.0,1.0
µÿÄµ▓╗Θåçσú╣_Σ╝ÿµ╝╛,0.0,0.0,0.0,30.0
µÿåΣ╗æσ▒▒τƒ┐µ│ëµ░┤,0.0,0.0,0.0,2.0
µÿƒσ╖┤σàï250mlµ¿▒Φè▒µï┐Θôü,0.0,0.0,0.0,9.0
µÿƒσ╖┤σàï250mlµè╣Φî╢µï┐Θôü,0.0,0.0,0.0,33.0
µÿƒσ╖┤σàï250mlΘªÖΦìëµï┐Θôü,0.0,0.0,0.0,43.0
µÿƒσ╖┤σàï250mlσÆûσòíµï┐Θôü,0.0,0.0,0.0,42.0
µÿƒσ╖┤σàï250mlσÆûσòíτÄ¢σÑçµ£╡,0.0,0.0,0.0,23.0
µÿƒσ╖┤σàïσÆûσòí,0.0,0.0,0.0,13.0
µÿƒσ╖┤σàïτ╗äσÉêΦúà,0.0,0.0,0.0,3.0
µƒáµ¬¼Θà▒µ▓╣µ▓Öµïëµ▒ü,0.0,0.0,0.0,3.0
µƒöσÆî,0.0,0.0,0.0,6.0
µ₧£τÜäµ»ÅµùÑΦî╢µƒáµ¬¼σæ│,0.0,0.0,0.0,2.0
µ₧£τÜäµ»ÅµùÑΦî╢µƒáµ¬¼τ╗┐Φî╢,0.0,0.0,0.0,1.0
µ₧£τÜäµ»ÅµùÑΦî╢τÖ╛ΘªÖµ₧£σæ│,0.0,0.0,0.0,1.0
µ₧¥µ▒ƒ,0.0,0.0,0.0,5.0
µ│íµ│í,0.0,0.0,0.0,3.0
µ│╕σ╖₧,0.0,0.0,0.0,2.0
µ│╕σ╖₧ΦÇüτ¬û,0.0,0.0,0.0,4.0
µ│╕σ╖₧ΦÇüτ¬û τ¬ûΘ╛ä90σ╣┤,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬û38σ║ªµ╖íΘ¢àσà¡σ╣┤ΘÖêτ¬û500ml,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬û42σ║ª500ml,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬û52σ║ªD12τ▓╛σôüσñ┤µ¢▓500ml,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬û52σ║ªD9τ▓╛σôüσñ┤µ¢▓500ml,0.0,0.0,0.0,2.0
µ│╕σ╖₧ΦÇüτ¬û52σ║ªΘ╕┐Φ┐ÉSTARτ▓╛σê╢σñ┤µ¢▓500ml,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬û52σ║ªσñ┤µ¢▓500ml,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬ûΣ║îµ¢▓40σ║ª500ml,0.0,0.0,0.0,2.0
µ│╕σ╖₧ΦÇüτ¬ûΣ║îµ¢▓500ml,0.0,0.0,0.0,2.0
µ│╕σ╖₧ΦÇüτ¬ûΣ║îµ¢▓τ║óΘ╗ä,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτ¬ûσ«½σ╗╖ΘàÆ,0.0,0.0,0.0,3.0
µ│╕σ╖₧ΦÇüτ¬ûσà½σ╣┤τ¬ûσñ┤µ¢▓,0.0,0.0,0.0,2.0
µ│╕σ╖₧ΦÇüτ¬ûτ▓╛σôüσñ┤µ¢▓τ╗äσÉêΦúà,0.0,0.0,0.0,1.0
µ│╕σ╖₧ΦÇüτÖ╜σ╣▓52σ║ª2.5LπÇü5L,0.0,0.0,0.0,7.0
µ│░σ¡Éµñ░µñ░µ▒ü,0.0,0.0,0.0,3.0
µ│░σ▒▒ΦÇüΘÖêΘàÆ15τ¬ûΦùÅ500ml,0.0,0.0,0.0,2.0
µ│░σ▒▒∩╝ê3Gµ░┤Φ££µíâ∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êµ£¢σ▓│∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êΘ¢¬Φ▒╣τ╗åµö»∩╝ë,0.0,0.0,0.0,2.0
µ│░σ▒▒∩╝êΘ¥ÆτºÇ∩╝ë,0.0,0.0,0.0,5.0
µ│░σ▒▒∩╝êΘó£µéª∩╝ë,0.0,0.0,0.0,3.0
µ│░σ▒▒∩╝êΘ╗æΦ▒╣τ╗åµö»∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êΘ╗æΦ▒╣∩╝ë,0.0,0.0,0.0,4.0
µ│░σ▒▒∩╝êΣ╕¡µ╡╖σ╛íσÅ╢∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êΦîëΦÄëΘªÖΘƒ╡∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êσ«Åσ¢╛∩╝ë,0.0,0.0,0.0,3.0
µ│░σ▒▒∩╝êσ┐âµéª∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êσ╖┤σôêΘ⌐¼∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êσ╣│σ«ë∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êτÖ╜σ░åσå¢∩╝ë,0.0,0.0,0.0,13.0
µ│░σ▒▒∩╝êτÖ╜σ░åτ╗åµö»∩╝ë,0.0,0.0,0.0,8.0
µ│░σ▒▒∩╝êτí¼τ║óσà½σû£∩╝ë,0.0,0.0,0.0,1.0
µ│░σ▒▒∩╝êτ║óσ░åσå¢∩╝ë,0.0,0.0,0.0,1.0
µ┤ïµ▓│,0.0,0.0,0.0,9.0
µ┤ïµ▓│Φô¥Σ╝ÿ,0.0,0.0,0.0,4.0
µ┤ïµ▓│Φô¥Φë▓τ╗Åσà╕52σ║ªµ╡╖Σ╣ïΦô¥480ml,0.0,0.0,0.0,1.0
µ┤ïµ▓│Φô¥Φë▓τ╗Åσà╕52σ║ªσñ⌐Σ╣ïΦô¥480ml,0.0,0.0,0.0,3.0
µ┤ïσƒÄσñºµ¢▓,0.0,0.0,0.0,2.0
µ┤╗µ╢ª,0.0,0.0,0.0,16.0
µ╕àµë¼µ¿▒Φè▒µ▓üτê╜µ┤ùσÅæµ░┤500g,0.0,0.0,0.0,6.0
µ╕àµë¼µÄºµ▓╣σ╣│Φííµ┤ùσÅæµ░┤500g,0.0,0.0,0.0,4.0
µ╕àµë¼µñìΦºëµ¿▒Φè▒µùáτíàµ▓╣σçÇΘÇÅΣ┐¥µ╣┐µ┤ùσÅæµ░┤700,0.0,0.0,0.0,2.0
µ╕àµë¼µñìΦºëτ½╣σÅ╢τ▓╛σìÄµ┤ùσÅæµ░┤700,0.0,0.0,0.0,3.0
µ╕àµë¼µñìΦºëτÖ╜Φî╢τ▓╛σìÄµ┤ùσÅæµ░┤700,0.0,0.0,0.0,1.0
µ╕àµë¼σñÜµòêµ░┤µ╢ªµ┤ùσÅæµ░┤500g,0.0,0.0,0.0,4.0
µ╕àµë¼τö╖σú½µ┤ùσÅæΘ£▓,0.0,0.0,0.0,1.0
µ╕àµë¼τö╖σú½µ┤╗σè¢Φ┐Éσè¿ΦûäΦì╖σ₧ïµ┤ùσÅæΘ£▓205g,0.0,0.0,0.0,1.0
µ╕àµë¼τö╖σú½µ╕àτê╜µÄºµ▓╣µ┤ùσÅæΘ£▓175,0.0,0.0,0.0,2.0
µ╕àµë¼τö╖σú½µ╕àτê╜µÄºµ▓╣µ┤ùσÅæΘ£▓205g,0.0,0.0,0.0,2.0
µ╕àµë¼τö╖σú½σñÜµòêµ░┤µ╢ªσà╗µèñσ₧ïσ₧ïµ┤ùσÅæΘ£▓175,0.0,0.0,0.0,2.0
µ╕àµë¼τö╖σú½σñÜµòêµ░┤µ╢ªσà╗µèñσ₧ïσ₧ïµ┤ùσÅæΘ£▓205g,0.0,0.0,0.0,1.0
µ╖│Φî╢ΦêìΘôüΦºéΘƒ│Σ╣îΘ╛Ö,0.0,0.0,0.0,10.0
µ╖│Φî╢ΦêìτÄëµÜ«τ║óΦî╢,0.0,0.0,0.0,7.0
µ╖│Φî╢ΦêìτÄëµÜ«τ╗┐Φî╢,0.0,0.0,0.0,12.0
